gameid,side,teamname,teamid,result,firstblood,team kpm,firstdragon,firstherald,firstbaron,firsttower
LOLTMNT03_29854,Blue,Team Bliss,oe:team:0b27fc98592297c4441bce44760a642,1,1.0,1.2262,1.0,1.0,1.0,1.0
LOLTMNT03_29854,Red,Dire Wolves,oe:team:cd6e0eea04af23b9c0735dab41a9941,0,0.0,0.3805,0.0,0.0,0.0,0.0
LOLTMNT03_29858,Blue,Dire Wolves,oe:team:cd6e0eea04af23b9c0735dab41a9941,0,1.0,0.4444,0.0,0.0,1.0,0.0
LOLTMNT03_29858,Red,Team Bliss,oe:team:0b27fc98592297c4441bce44760a642,1,0.0,0.4722,1.0,1.0,0.0,1.0
LOLTMNT02_19363,Blue,KT Rolster Challengers,oe:team:b9733b8e8aa341319bbaf1035198a28,1,0.0,0.4047,1.0,1.0,0.0,0.0
LOLTMNT02_19363,Red,OKSavingsBank BRION Challengers,oe:team:5d069a5aeb88f79b4b92dfa2b9f2a3c,0,1.0,0.2556,0.0,0.0,1.0,1.0
LOLTMNT02_20412,Blue,OKSavingsBank BRION Challengers,oe:team:5d069a5aeb88f79b4b92dfa2b9f2a3c,0,0.0,0.0675,1.0,1.0,0.0,0.0
LOLTMNT02_20412,Red,KT Rolster Challengers,oe:team:b9733b8e8aa341319bbaf1035198a28,1,1.0,0.4727,0.0,0.0,1.0,1.0
LOLTMNT06_13896,Blue,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,1.0,0.3388,0.0,0.0,0.0,0.0
LOLTMNT06_13896,Red,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,1,0.0,0.847,1.0,1.0,1.0,1.0
LOLTMNT06_13904,Blue,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0,0.0,0.1593,0.0,0.0,0.0,1.0
LOLTMNT06_13904,Red,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,1,1.0,0.5575,1.0,1.0,1.0,0.0
LOLTMNT06_12924,Blue,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,1.0,0.4114,1.0,1.0,1.0,1.0
LOLTMNT06_12924,Red,GiantX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,0,0.0,0.1763,0.0,0.0,0.0,0.0
LOLTMNT06_13954,Blue,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,1.0,0.3526,0.0,0.0,0.0,1.0
LOLTMNT06_13954,Red,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,0.0,0.5877,1.0,1.0,1.0,0.0
LOLTMNT06_12963,Blue,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,1,1.0,0.5039,1.0,1.0,1.0,1.0
LOLTMNT06_12963,Red,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,0,0.0,0.1575,0.0,0.0,0.0,0.0
LOLTMNT03_31006,Blue,Ground Zero Gaming,oe:team:788115a84f68bc65fa6d3a4e0f67a3e,1,1.0,0.8736,1.0,1.0,1.0,1.0
LOLTMNT03_31006,Red,Kanga Esports,oe:team:40ca71047541a6edbbb6e29893f9058,0,0.0,0.4368,0.0,0.0,0.0,0.0
LOLTMNT03_31018,Blue,Ground Zero Gaming,oe:team:788115a84f68bc65fa6d3a4e0f67a3e,1,1.0,0.6623,1.0,1.0,1.0,1.0
LOLTMNT03_31018,Red,Kanga Esports,oe:team:40ca71047541a6edbbb6e29893f9058,0,0.0,0.298,0.0,0.0,0.0,0.0
LOLTMNT02_19707,Blue,Hanwha Life Esports Challengers,oe:team:2a5e5fceaa40b335ebc6b49359abf62,1,1.0,0.4659,0.0,1.0,1.0,0.0
LOLTMNT02_19707,Red,Dplus KIA Challengers,oe:team:2d26f8190f9d5cd2e0cb2232d9b7481,0,0.0,0.4414,1.0,0.0,0.0,1.0
LOLTMNT02_19725,Blue,Dplus KIA Challengers,oe:team:2d26f8190f9d5cd2e0cb2232d9b7481,1,1.0,0.2303,0.0,1.0,1.0,1.0
LOLTMNT02_19725,Red,Hanwha Life Esports Challengers,oe:team:2a5e5fceaa40b335ebc6b49359abf62,0,0.0,0.1279,1.0,0.0,0.0,0.0
LOLTMNT02_19742,Blue,Hanwha Life Esports Challengers,oe:team:2a5e5fceaa40b335ebc6b49359abf62,1,0.0,0.4548,0.0,1.0,1.0,0.0
LOLTMNT02_19742,Red,Dplus KIA Challengers,oe:team:2d26f8190f9d5cd2e0cb2232d9b7481,0,1.0,0.1624,1.0,0.0,0.0,1.0
LOLTMNT02_19822,Blue,Kwangdong Freecs Challengers,oe:team:ce666ec5e91131390b04ed14a858cb1,0,0.0,0.139,1.0,1.0,0.0,0.0
LOLTMNT02_19822,Red,T1 Esports Academy,oe:team:731b7a9fd004cdbe2bcb3da795bce47,1,1.0,0.3824,0.0,0.0,0.0,1.0
LOLTMNT02_20920,Blue,Kwangdong Freecs Challengers,oe:team:ce666ec5e91131390b04ed14a858cb1,1,0.0,0.2701,0.0,0.0,1.0,1.0
LOLTMNT02_20920,Red,T1 Esports Academy,oe:team:731b7a9fd004cdbe2bcb3da795bce47,0,1.0,0.4951,1.0,1.0,0.0,0.0
LOLTMNT02_19905,Blue,T1 Esports Academy,oe:team:731b7a9fd004cdbe2bcb3da795bce47,0,1.0,0.4793,0.0,1.0,1.0,0.0
LOLTMNT02_19905,Red,Kwangdong Freecs Challengers,oe:team:ce666ec5e91131390b04ed14a858cb1,1,0.0,0.2996,1.0,0.0,0.0,1.0
LOLTMNT04_19084,Blue,GRP Esports,oe:team:2d038b581c7aa5565f197e93de4ff35,0,1.0,0.1224,0.0,1.0,0.0,0.0
LOLTMNT04_19084,Red,Forsaken,oe:team:9e12a15ab90a0a26c7e4e5308d3924c,1,0.0,0.4592,1.0,0.0,1.0,1.0
LOLTMNT01_32044,Blue,devils.one,oe:team:f27741afb3044c971eeced9d0c2daa1,1,1.0,0.3866,0.0,1.0,0.0,1.0
LOLTMNT01_32044,Red,Team ESCA Gaming,oe:team:1158ec5b08f516ca81868bc48293989,0,0.0,0.0,1.0,0.0,0.0,0.0
LOLTMNT01_31121,Blue,Orbit Anonymo Esports,oe:team:f9f16e15a84c85d050aa09b4a21c757,1,1.0,0.4267,0.0,1.0,1.0,1.0
LOLTMNT01_31121,Red,Iron Wolves,oe:team:bc9bdf946d79f2f1f483b429a7dfffc,0,0.0,0.2845,1.0,0.0,0.0,0.0
LOLTMNT01_31134,Blue,Zero Tenacity,oe:team:125fc4d6b0dc1b21596f4f06a207d62,1,1.0,0.3988,0.0,1.0,0.0,0.0
LOLTMNT01_31134,Red,Back2TheGame,oe:team:544b70d08c7df83ccb74d08a677b902,0,0.0,0.1534,1.0,0.0,0.0,1.0
LOLTMNT03_32083,Blue,Movistar R7,oe:team:2cb996a4b0ffaca3bcf66fe91450243,0,0.0,0.1973,0.0,1.0,0.0,0.0
LOLTMNT03_32083,Red,Estral Esports,oe:team:1c81857b6ce6a3c1cd9220fd97e077f,1,1.0,0.6575,1.0,0.0,1.0,1.0
LOLTMNT03_31152,Blue,Movistar R7,oe:team:2cb996a4b0ffaca3bcf66fe91450243,0,0.0,0.2723,0.0,0.0,0.0,0.0
LOLTMNT03_31152,Red,Estral Esports,oe:team:1c81857b6ce6a3c1cd9220fd97e077f,1,1.0,0.8508,1.0,1.0,1.0,1.0
LOLTMNT03_31162,Blue,INFINITY,oe:team:7e3dd5ff49e1a44784d225d2de40260,0,1.0,0.1752,1.0,1.0,0.0,1.0
LOLTMNT03_31162,Red,Isurus,oe:team:5737b101780a9835142549164be1ac4,1,0.0,0.5255,0.0,0.0,1.0,0.0
LOLTMNT03_32104,Blue,Isurus,oe:team:5737b101780a9835142549164be1ac4,1,1.0,0.7327,1.0,0.0,1.0,1.0
LOLTMNT03_32104,Red,INFINITY,oe:team:7e3dd5ff49e1a44784d225d2de40260,0,0.0,0.1628,0.0,1.0,0.0,0.0
LOLTMNT02_22165,Blue,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0,1.0,0.3351,0.0,0.0,0.0,1.0
LOLTMNT02_22165,Red,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,1,0.0,0.3351,1.0,1.0,1.0,0.0
LOLTMNT02_21206,Blue,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0,1.0,0.0702,1.0,0.0,0.0,0.0
LOLTMNT02_21206,Red,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,1,0.0,0.4211,0.0,1.0,1.0,1.0
LOLTMNT02_22225,Blue,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,0,0.0,0.138,1.0,0.0,0.0,0.0
LOLTMNT02_22225,Red,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1,1.0,0.207,0.0,1.0,1.0,1.0
LOLTMNT02_21273,Blue,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,0,1.0,0.3175,0.0,1.0,0.0,1.0
LOLTMNT02_21273,Red,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1,0.0,0.5397,1.0,0.0,1.0,0.0
LOLTMNT02_21295,Blue,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,0,0.0,0.2334,0.0,0.0,1.0,0.0
LOLTMNT02_21295,Red,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1,1.0,0.5834,1.0,1.0,0.0,1.0
LOLTMNT02_21435,Blue,NNO Prime,oe:team:2ae1a4c6fe17bf70dd4b5520d60f55b,0,0.0,0.2953,1.0,1.0,1.0,1.0
LOLTMNT02_21435,Red,SK Gaming Prime,oe:team:aa8c3b781d96ddb7a24ab3240918988,1,1.0,0.2707,0.0,0.0,0.0,0.0
LOLTMNT02_22425,Blue,Barça eSports,oe:team:2d1b8a518ba70fe8352fb0fdd8aec1a,0,1.0,0.4355,0.0,0.0,0.0,0.0
LOLTMNT02_22425,Red,Case Esports,oe:team:a7d0fbf8d498d1ecf38752df7f6259d,1,0.0,0.7705,1.0,1.0,1.0,1.0
LOLTMNT04_19106,Blue,BK ROG Esports,oe:team:c40f6d0d20a7a718c60342e48c144a2,0,1.0,0.2354,0.0,1.0,0.0,1.0
LOLTMNT04_19106,Red,Karmine Corp Blue,oe:team:42bf6c1040db8f2221ff017fa4d34e4,1,0.0,0.9026,1.0,0.0,1.0,0.0
LOLTMNT01_32292,Blue,GRP Esports,oe:team:2d038b581c7aa5565f197e93de4ff35,0,0.0,0.2741,1.0,0.0,0.0,1.0
LOLTMNT01_32292,Red,Team ESCA Gaming,oe:team:1158ec5b08f516ca81868bc48293989,1,1.0,0.8224,0.0,1.0,1.0,0.0
LOLTMNT04_19119,Blue,Aegis,oe:team:e3a29387c70230d76837b86c2aefd14,0,0.0,0.1077,1.0,0.0,0.0,0.0
LOLTMNT04_19119,Red,Team GO,oe:team:8d538207b9de9d20e1a525aae593515,1,1.0,0.3501,0.0,1.0,1.0,1.0
LOLTMNT02_21487,Blue,Ramboot Club,oe:team:d17ce7a4192b52f8e1daf94c381c75f,1,1.0,0.8225,0.0,1.0,1.0,1.0
LOLTMNT02_21487,Red,Rebels Gaming,oe:team:60411922d8062ecea0c728af9c876a0,0,0.0,0.2056,1.0,0.0,0.0,0.0
LOLTMNT05_12117,Blue,Eintracht Frankfurt,oe:team:48199c3e87ac9d14cdf50169f8eaabc,1,0.0,0.7945,0.0,0.0,1.0,0.0
LOLTMNT05_12117,Red,Austrian Force willhaben,oe:team:a1934e3feca7db728021f9c61a6bc27,0,1.0,0.3562,1.0,1.0,0.0,1.0
LOLTMNT01_31354,Blue,Orbit Anonymo Esports,oe:team:f9f16e15a84c85d050aa09b4a21c757,1,0.0,0.4941,0.0,0.0,1.0,0.0
LOLTMNT01_31354,Red,Zero Tenacity,oe:team:125fc4d6b0dc1b21596f4f06a207d62,0,1.0,0.2471,1.0,1.0,0.0,1.0
LOLTMNT02_21514,Blue,UCAM Esports,oe:team:746e6715fc4295c54954be5efc385af,1,0.0,0.5553,1.0,1.0,1.0,1.0
LOLTMNT02_21514,Red,Guasones,oe:team:91c35185025768de7d8aa448933f56c,0,1.0,0.2524,0.0,0.0,0.0,0.0
LOLTMNT04_18202,Blue,Vitality.Bee,oe:team:ccd089bf173a5fff1063eb0576201a7,1,0.0,0.4523,0.0,0.0,1.0,1.0
LOLTMNT04_18202,Red,Team BDS Academy,oe:team:9adc852fe2e027c5e4abd53ae8915ff,0,1.0,0.2585,1.0,1.0,0.0,0.0
LOLTMNT05_11139,Blue,Unicorns of Love Sexy Edition,oe:team:6a060bd74c9041bf0aa89adf9d15d12,0,0.0,0.3785,1.0,1.0,1.0,1.0
LOLTMNT05_11139,Red,Eintracht Spandau,oe:team:980ab072663574c2e4fca71f275d302,1,1.0,0.3785,0.0,0.0,0.0,0.0
LOLTMNT04_18208,Blue,devils.one,oe:team:f27741afb3044c971eeced9d0c2daa1,1,1.0,0.5376,1.0,1.0,1.0,0.0
LOLTMNT04_18208,Red,Back2TheGame,oe:team:544b70d08c7df83ccb74d08a677b902,0,0.0,0.2987,0.0,0.0,0.0,1.0
LOLTMNT02_22535,Blue,Los Heretics,oe:team:2dfc66b98002c5afad2a98dbf86e350,1,1.0,0.2851,0.0,1.0,0.0,1.0
LOLTMNT02_22535,Red,GIANTX Pride,oe:team:1027c6e0b1984a79fdd7be04072b547,0,0.0,0.1555,1.0,0.0,1.0,0.0
LOLTMNT04_19139,Blue,Solary,oe:team:90938c428db11f6e372f5c6833b9743,0,1.0,0.2855,0.0,0.0,0.0,1.0
LOLTMNT04_19139,Red,Gentle Mates,oe:team:d2c27cb51cedbbac1752f1ec81addc4,1,0.0,0.5709,1.0,1.0,1.0,0.0
LOLTMNT05_11152,Blue,MOUZ NXT,oe:team:7c4854374e4daa6b00206eb922359a9,0,0.0,0.499,0.0,1.0,0.0,0.0
LOLTMNT05_11152,Red,E WIE EINFACH E-SPORTS,oe:team:26ff1a9f7fb8e976fbdcc5d2a8ac397,1,1.0,0.5301,1.0,0.0,1.0,1.0
LOLTMNT04_19142,Blue,Forsaken,oe:team:9e12a15ab90a0a26c7e4e5308d3924c,0,1.0,0.4335,1.0,1.0,0.0,0.0
LOLTMNT04_19142,Red,Iron Wolves,oe:team:bc9bdf946d79f2f1f483b429a7dfffc,1,0.0,0.5202,0.0,0.0,1.0,1.0
LOLTMNT02_21552,Blue,ZETA,oe:team:50c26816bdd3bb2a02def8e11a5cd5a,0,1.0,0.4458,1.0,1.0,1.0,0.0
LOLTMNT02_21552,Red,Movistar KOI,oe:team:4acc40654379b4da680be1bd3129dfa,1,0.0,0.4224,0.0,0.0,0.0,1.0
LOLTMNT04_18219,Blue,Team du Sud,oe:team:1dc6411295a36bd29c29b1096ba859d,0,1.0,0.3781,1.0,0.0,0.0,1.0
LOLTMNT04_18219,Red,GameWard,oe:team:312ee76ca74cbb5cb984d8b71ef4847,1,0.0,0.7271,0.0,1.0,1.0,0.0
LOLTMNT05_12149,Blue,Berlin International Gaming,oe:team:3de935df8f40fbb4d0e564d4a20e6cb,0,1.0,0.1282,0.0,1.0,1.0,0.0
LOLTMNT05_12149,Red,FC Schalke 04 Esports,oe:team:1d0f5e58f39613aff1a3dd4ed85933e,1,0.0,0.4103,1.0,0.0,0.0,1.0
LOLTMNT03_32323,Blue,Isurus,oe:team:5737b101780a9835142549164be1ac4,1,1.0,0.7781,1.0,1.0,1.0,1.0
LOLTMNT03_32323,Red,Leviatan,oe:team:53ef3d5a3ac5d88bc000eff7d87aeb3,0,0.0,0.2161,0.0,0.0,0.0,0.0
LOLTMNT03_31400,Blue,Isurus,oe:team:5737b101780a9835142549164be1ac4,1,0.0,0.647,0.0,1.0,1.0,0.0
LOLTMNT03_31400,Red,Leviatan,oe:team:53ef3d5a3ac5d88bc000eff7d87aeb3,0,1.0,0.4501,1.0,0.0,0.0,1.0
LOLTMNT03_32335,Blue,Six Karma,oe:team:3d3456d514814ba68c9532044bc50e2,0,0.0,0.2699,0.0,0.0,0.0,0.0
LOLTMNT03_32335,Red,Movistar R7,oe:team:2cb996a4b0ffaca3bcf66fe91450243,1,1.0,0.617,1.0,1.0,1.0,1.0
LOLTMNT03_32337,Blue,Movistar R7,oe:team:2cb996a4b0ffaca3bcf66fe91450243,1,1.0,0.8059,1.0,1.0,1.0,1.0
LOLTMNT03_32337,Red,Six Karma,oe:team:3d3456d514814ba68c9532044bc50e2,0,0.0,0.2821,0.0,0.0,0.0,0.0
LOLTMNT02_21624,Blue,OKSavingsBank BRION Challengers,oe:team:5d069a5aeb88f79b4b92dfa2b9f2a3c,1,1.0,0.5492,0.0,0.0,0.0,1.0
LOLTMNT02_21624,Red,FearX Youth,oe:team:1c549aec787136db0efdfac47eba51b,0,0.0,0.1373,1.0,1.0,0.0,0.0
LOLTMNT02_22621,Blue,Nongshim Esports Academy,oe:team:7c64febcd5ccff13dcd035dc6867a00,0,1.0,0.1837,0.0,0.0,0.0,0.0
LOLTMNT02_22621,Red,KT Rolster Challengers,oe:team:b9733b8e8aa341319bbaf1035198a28,1,0.0,0.5879,1.0,1.0,1.0,1.0
LOLTMNT02_21623,Blue,Gen.G Global Academy,oe:team:4c9dd0212552afe76315b616b7891f5,0,1.0,0.2448,0.0,1.0,0.0,0.0
LOLTMNT02_21623,Red,DRX Challengers,oe:team:55b3d6b2c940afa4e24978c55dfea27,1,0.0,0.3846,1.0,0.0,1.0,1.0
LOLTMNT02_22632,Blue,FearX Youth,oe:team:1c549aec787136db0efdfac47eba51b,0,1.0,0.3415,0.0,0.0,0.0,1.0
LOLTMNT02_22632,Red,OKSavingsBank BRION Challengers,oe:team:5d069a5aeb88f79b4b92dfa2b9f2a3c,1,0.0,0.7881,1.0,1.0,1.0,0.0
LOLTMNT02_22633,Blue,Gen.G Global Academy,oe:team:4c9dd0212552afe76315b616b7891f5,1,1.0,0.5779,1.0,1.0,1.0,0.0
LOLTMNT02_22633,Red,DRX Challengers,oe:team:55b3d6b2c940afa4e24978c55dfea27,0,0.0,0.3059,0.0,0.0,0.0,1.0
