gameid,Bluetopgp,Bluetopwr,Bluetopkda,result,Redtopgp,Redtopwr,Redtopkda,Bluejngp,Bluejngwr,Bluejngkda,Redjnggp,Redjngwr,Redjngkda,Bluemidgp,Bluemidwr,Bluemidkda,Redmidgp,Redmidwr,Redmidkda,Bluebotgp,Bluebotwr,Bluebotkda,Redbotgp,Redbotwr,Redbotkda,Bluesupgp,Bluesupwr,Bluesupkda,Redsupgp,Redsupwr,Redsupkda
LOLTMNT02_69234,2.0,1.0,1.33,1.0,8.0,0.5,1.75,5.0,0.6,0.0,2.0,0.0,0.88,3.0,1.0,1.5,1.0,0.0,0.0,6.0,0.67,1.67,6.0,0.5,0.4,9.0,0.56,0.33,1.0,0.0,0.0
LOLTMNT02_68270,2.0,1.0,3.0,1.0,5.0,0.4,0.0,5.0,0.6,0.0,5.0,0.8,0.0,7.0,0.43,1.67,3.0,0.33,3.0,6.0,0.67,1.67,6.0,0.5,0.4,2.0,0.5,0.0,6.0,0.17,0.14
LOLTMNT02_68275,8.0,0.5,1.75,0.0,2.0,1.0,3.0,8.0,0.5,0.12,5.0,0.6,0.0,3.0,0.33,0.25,6.0,0.5,1.0,1.0,0.0,0.25,1.0,1.0,8.0,1.0,0.0,0.67,1.0,1.0,0.0
LOLTMNT01_81037,3.0,0.67,1.5,1.0,7.0,0.71,2.0,6.0,0.67,4.0,3.0,0.33,0.0,4.0,0.75,1.33,4.0,0.25,7.0,3.0,0.67,1.33,5.0,0.4,2.0,3.0,1.0,0.5,8.0,0.62,0.33
LOLTMNT01_81053,7.0,0.57,0.5,0.0,2.0,0.5,0.83,4.0,0.75,4.0,8.0,0.75,2.5,4.0,0.75,9.0,4.0,0.75,6.0,3.0,0.33,0.6,1.0,1.0,5.0,3.0,0.67,1.0,9.0,0.78,1.0
LOLTMNT02_69285,1.0,0.0,0.5,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,3.0,0.67,1.5,2.0,1.0,11.0,1.0,0.0,0.25,2.0,0.5,1.0
LOLTMNT01_81057,11.0,0.73,1.5,0.0,1.0,1.0,3.0,8.0,0.62,0.0,2.0,0.5,0.25,2.0,0.5,1.33,2.0,0.5,0.33,2.0,0.0,1.0,6.0,1.0,7.0,5.0,0.4,0.0,8.0,1.0,0.5
LOLTMNT02_68319,4.0,0.25,0.2,0.0,3.0,0.67,1.0,3.0,0.0,0.25,2.0,0.5,2.0,1.0,0.0,1.0,2.0,0.5,8.0,2.0,0.0,0.0,3.0,0.67,7.0,1.0,0.0,0.0,1.0,1.0,0.0
LOLTMNT02_68326,1.0,0.0,0.0,0.0,1.0,1.0,1.33,2.0,0.0,0.0,1.0,1.0,2.5,1.0,0.0,0.8,2.0,1.0,7.0,3.0,0.33,1.25,1.0,1.0,1.67,1.0,0.0,0.0,5.0,1.0,1.0
LOLTMNT02_68336,2.0,1.0,2.0,1.0,3.0,0.0,0.33,1.0,1.0,0.33,2.0,0.0,1.0,4.0,0.25,1.0,1.0,0.0,0.33,2.0,0.5,2.67,2.0,0.5,1.0,1.0,1.0,1.5,1.0,0.0,0.0
