gameid,Bluetopgp,Bluetopwr,Bluetopkda10,Bluetopkda15,Bluetopgolddiffat10,Bluetopgolddiffat15,Redtopgp,Redtopwr,Redtopkda10,Redtopkda15,Redtopgolddiffat10,Redtopgolddiffat15,Bluejnggp,Bluejngwr,Bluejngkda10,Bluejngkda15,Bluejnggolddiffat10,Bluejnggolddiffat15,Redjnggp,Redjngwr,Redjngkda10,Redjngkda15,Redjnggolddiffat10,Redjnggolddiffat15,Bluemidgp,Bluemidwr,Bluemidkda10,Bluemidkda15,Bluemidgolddiffat10,Bluemidgolddiffat15,Redmidgp,Redmidwr,Redmidkda10,Redmidkda15,Redmidgolddiffat10,Redmidgolddiffat15,Bluebotgp,Bluebotwr,Bluebotkda10,Bluebotkda15,Bluebotgolddiffat10,Bluebotgolddiffat15,Redbotgp,Redbotwr,Redbotkda10,Redbotkda15,Redbotgolddiffat10,Redbotgolddiffat15,Bluesupgp,Bluesupwr,Bluesupkda10,Bluesupkda15,Bluesupgolddiffat10,Bluesupgolddiffat15,Redsupgp,Redsupwr,Redsupkda10,Redsupkda15,Redsupgolddiffat10,Redsupgolddiffat15,firsttower,firstblood,firstherald,firstbaron,firstdragon,result
LOLTMNT02_57880,1.0,0.0,1.0,0.67,1207.0,2264.0,5.0,1.0,0.2,1.73,-605.4,-1156.6,3.0,0.33,0.0,0.06,-356.67,-372.67,6.0,0.83,1.0,1.46,449.33,454.0,1.0,0.0,1.0,0.2,384.0,647.0,2.0,1.0,0.5,2.33,254.0,-160.0,4.0,0.25,0.4,1.45,-241.0,-119.0,4.0,0.75,0.75,1.71,-11.25,52.0,3.0,0.0,0.0,0.12,-253.67,-150.33,4.0,0.75,0.25,0.17,131.5,218.0,1.0,0.0,1.0,1.0,0.0,0.0
LOLTMNT02_56963,1.0,0.0,0.0,0.0,-113.0,-225.0,1.0,1.0,0.0,1.0,113.0,225.0,1.0,0.0,1.0,1.0,493.0,666.0,4.0,0.75,0.0,0.58,-262.0,-499.75,2.0,0.5,0.0,0.5,71.5,132.0,3.0,0.67,0.33,2.0,164.0,18.0,1.0,0.0,0.0,1.0,156.0,922.0,4.0,0.75,0.0,4.71,220.75,181.25,1.0,0.0,0.0,0.0,479.0,723.0,3.0,0.67,0.0,0.11,-461.67,-825.0,0.0,0.0,1.0,0.0,1.0,0.0
LOLTMNT02_56969,1.0,0.0,0.0,0.67,124.0,275.0,5.0,0.4,0.0,0.81,-228.6,-398.8,2.0,0.0,1.0,0.5,212.0,212.5,8.0,0.5,0.11,0.44,-245.0,-294.62,3.0,0.33,0.67,1.0,311.0,334.67,5.0,0.6,0.4,1.27,213.6,620.8,3.0,0.67,0.33,2.0,-33.0,252.0,3.0,0.67,0.67,0.87,734.0,640.33,1.0,0.0,0.0,0.5,408.0,222.0,1.0,1.0,0.0,1.0,-408.0,-222.0,0.0,0.0,0.0,0.0,0.0,0.0
LOLTMNT02_57912,2.0,0.0,0.0,0.0,-221.5,-264.5,3.0,0.67,0.0,0.56,-828.0,-1137.0,3.0,0.33,0.33,0.67,363.0,767.0,5.0,0.8,0.2,0.16,-11.2,-334.4,1.0,0.0,0.0,0.5,-665.0,-1056.0,2.0,0.5,1.0,2.75,158.0,405.0,3.0,0.0,0.33,0.63,-34.67,268.67,2.0,1.0,0.5,4.5,-110.5,-405.5,1.0,0.0,0.0,0.0,-76.0,-132.0,12.0,0.58,0.0,0.24,25.17,118.83,0.0,0.0,1.0,0.0,0.0,0.0
10813-10813_game_1,4.0,0.5,,1.89,,,1.0,1.0,,0.6,,,3.0,0.33,,1.2,,,4.0,0.75,,2.55,,,1.0,0.0,,1.0,,,1.0,1.0,,7.0,,,10.0,0.6,,3.17,,,2.0,1.0,,1.0,,,11.0,0.73,,0.24,,,2.0,0.5,,0.17,,,,1.0,,,,0.0
LOLTMNT02_57944,6.0,0.83,0.33,2.86,52.17,276.0,2.0,0.0,1.0,0.5,-146.0,-87.0,4.0,0.75,1.0,0.67,345.75,272.75,3.0,0.0,0.0,0.18,-493.33,-1149.0,1.0,1.0,0.0,2.0,-41.0,-562.0,6.0,0.17,0.0,0.37,-274.33,-597.5,4.0,1.0,0.25,6.57,44.75,-0.75,2.0,0.5,0.0,2.0,-540.5,-675.0,12.0,0.5,0.23,0.32,-16.25,6.08,1.0,0.0,0.0,0.0,-294.0,-185.0,0.0,1.0,1.0,1.0,1.0,1.0
10813-10813_game_2,8.0,0.38,,0.42,,,1.0,1.0,,1.5,,,11.0,0.64,,0.91,,,2.0,0.5,,0.25,,,1.0,0.0,,2.0,,,4.0,0.5,,1.43,,,1.0,0.0,,0.0,,,4.0,0.75,,2.0,,,8.0,0.38,,0.22,,,1.0,1.0,,0.5,,,,1.0,,,,0.0
LOLTMNT02_57961,9.0,0.67,0.44,1.05,-140.78,-76.78,2.0,0.5,0.0,1.33,-196.5,-219.5,5.0,0.6,0.0,0.65,-264.0,-417.0,3.0,0.0,0.0,0.18,-493.33,-1149.0,1.0,1.0,0.0,1.2,205.0,6.0,6.0,0.17,0.0,0.37,-274.33,-597.5,4.0,1.0,0.25,6.57,44.75,-0.75,1.0,0.0,0.0,3.5,-359.0,-312.0,12.0,0.5,0.23,0.32,-16.25,6.08,1.0,0.0,0.0,0.09,-284.0,-164.0,1.0,0.0,1.0,0.0,1.0,1.0
10814-10814_game_1,8.0,0.62,,1.26,,,2.0,0.5,,1.75,,,2.0,1.0,,4.5,,,3.0,0.0,,0.06,,,3.0,0.67,,1.22,,,7.0,0.29,,1.4,,,1.0,1.0,,6.0,,,4.0,0.0,,0.26,,,1.0,1.0,,0.5,,,3.0,0.33,,0.07,,,,0.0,,,,1.0
LOLTMNT02_58054,25.0,0.56,0.12,1.33,-123.32,-5.92,5.0,0.6,0.4,1.33,268.2,57.0,8.0,0.75,0.25,0.84,-117.0,13.5,6.0,0.33,0.33,0.67,-202.0,-273.33,1.0,1.0,0.0,2.0,348.0,622.0,2.0,0.0,0.0,0.2,-281.0,-440.5,9.0,0.78,0.56,5.12,-111.33,-463.22,3.0,0.33,0.67,1.43,324.67,718.33,12.0,0.67,0.08,0.21,2.75,84.92,1.0,0.0,0.0,0.0,196.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
