gameid,side,position,teamname,teamid,result,firstblood,team kpm,firstdragon,firstherald,firstbaron,firsttower
LOLTMNT03_32083,Blue,team,Movistar R7,oe:team:2cb996a4b0ffaca3bcf66fe91450243,0,0.0,0.1973,0.0,1.0,0.0,0.0
LOLTMNT03_32083,Red,team,Estral Esports,oe:team:1c81857b6ce6a3c1cd9220fd97e077f,1,1.0,0.6575,1.0,0.0,1.0,1.0
LOLTMNT03_31152,Blue,team,Movistar R7,oe:team:2cb996a4b0ffaca3bcf66fe91450243,0,0.0,0.2723,0.0,0.0,0.0,0.0
LOLTMNT03_31152,Red,team,Estral Esports,oe:team:1c81857b6ce6a3c1cd9220fd97e077f,1,1.0,0.8508,1.0,1.0,1.0,1.0
LOLTMNT03_31162,Blue,team,INFINITY,oe:team:7e3dd5ff49e1a44784d225d2de40260,0,1.0,0.1752,1.0,1.0,0.0,1.0
LOLTMNT03_31162,Red,team,Isurus,oe:team:5737b101780a9835142549164be1ac4,1,0.0,0.5255,0.0,0.0,1.0,0.0
LOLTMNT03_32104,Blue,team,Isurus,oe:team:5737b101780a9835142549164be1ac4,1,1.0,0.7327,1.0,0.0,1.0,1.0
LOLTMNT03_32104,Red,team,INFINITY,oe:team:7e3dd5ff49e1a44784d225d2de40260,0,0.0,0.1628,0.0,1.0,0.0,0.0
LOLTMNT02_22165,Blue,team,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0,1.0,0.3351,0.0,0.0,0.0,1.0
LOLTMNT02_22165,Red,team,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,1,0.0,0.3351,1.0,1.0,1.0,0.0
LOLTMNT02_21206,Blue,team,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0,1.0,0.0702,1.0,0.0,0.0,0.0
LOLTMNT02_21206,Red,team,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,1,0.0,0.4211,0.0,1.0,1.0,1.0
LOLTMNT02_22225,Blue,team,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,0,0.0,0.138,1.0,0.0,0.0,0.0
LOLTMNT02_22225,Red,team,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1,1.0,0.207,0.0,1.0,1.0,1.0
LOLTMNT02_21273,Blue,team,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,0,1.0,0.3175,0.0,1.0,0.0,1.0
LOLTMNT02_21273,Red,team,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1,0.0,0.5397,1.0,0.0,1.0,0.0
LOLTMNT02_21295,Blue,team,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,0,0.0,0.2334,0.0,0.0,1.0,0.0
LOLTMNT02_21295,Red,team,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1,1.0,0.5834,1.0,1.0,0.0,1.0
LOLTMNT02_21435,Blue,team,NNO Prime,oe:team:2ae1a4c6fe17bf70dd4b5520d60f55b,0,0.0,0.2953,1.0,1.0,1.0,1.0
LOLTMNT02_21435,Red,team,SK Gaming Prime,oe:team:aa8c3b781d96ddb7a24ab3240918988,1,1.0,0.2707,0.0,0.0,0.0,0.0
LOLTMNT02_22425,Blue,team,Barça eSports,oe:team:2d1b8a518ba70fe8352fb0fdd8aec1a,0,1.0,0.4355,0.0,0.0,0.0,0.0
LOLTMNT02_22425,Red,team,Case Esports,oe:team:a7d0fbf8d498d1ecf38752df7f6259d,1,0.0,0.7705,1.0,1.0,1.0,1.0
LOLTMNT04_19106,Blue,team,BK ROG Esports,oe:team:c40f6d0d20a7a718c60342e48c144a2,0,1.0,0.2354,0.0,1.0,0.0,1.0
LOLTMNT04_19106,Red,team,Karmine Corp Blue,oe:team:42bf6c1040db8f2221ff017fa4d34e4,1,0.0,0.9026,1.0,0.0,1.0,0.0
LOLTMNT01_32292,Blue,team,GRP Esports,oe:team:2d038b581c7aa5565f197e93de4ff35,0,0.0,0.2741,1.0,0.0,0.0,1.0
LOLTMNT01_32292,Red,team,Team ESCA Gaming,oe:team:1158ec5b08f516ca81868bc48293989,1,1.0,0.8224,0.0,1.0,1.0,0.0
LOLTMNT04_19119,Blue,team,Aegis,oe:team:e3a29387c70230d76837b86c2aefd14,0,0.0,0.1077,1.0,0.0,0.0,0.0
LOLTMNT04_19119,Red,team,Team GO,oe:team:8d538207b9de9d20e1a525aae593515,1,1.0,0.3501,0.0,1.0,1.0,1.0
LOLTMNT02_21487,Blue,team,Ramboot Club,oe:team:d17ce7a4192b52f8e1daf94c381c75f,1,1.0,0.8225,0.0,1.0,1.0,1.0
LOLTMNT02_21487,Red,team,Rebels Gaming,oe:team:60411922d8062ecea0c728af9c876a0,0,0.0,0.2056,1.0,0.0,0.0,0.0
LOLTMNT05_12117,Blue,team,Eintracht Frankfurt,oe:team:48199c3e87ac9d14cdf50169f8eaabc,1,0.0,0.7945,0.0,0.0,1.0,0.0
LOLTMNT05_12117,Red,team,Austrian Force willhaben,oe:team:a1934e3feca7db728021f9c61a6bc27,0,1.0,0.3562,1.0,1.0,0.0,1.0
LOLTMNT01_31354,Blue,team,Orbit Anonymo Esports,oe:team:f9f16e15a84c85d050aa09b4a21c757,1,0.0,0.4941,0.0,0.0,1.0,0.0
LOLTMNT01_31354,Red,team,Zero Tenacity,oe:team:125fc4d6b0dc1b21596f4f06a207d62,0,1.0,0.2471,1.0,1.0,0.0,1.0
